trip_date,user_type,total_trips,total_trip_duration_hours,average_trip_duration_minutes
2017-01-01,Casual,77,41.57277777777778,32.394372294372296
2017-01-01,Member,410,72.90527777777778,10.669065040650406
2017-01-02,Casual,21,14.164444444444445,40.46984126984127
2017-01-02,Member,1611,286.8786111111111,10.684492033933374
2017-01-03,Casual,53,19.918611111111108,22.54937106918239
2017-01-03,Member,1960,338.7425,10.36966836734694
2017-01-04,Casual,307,160.05888888888887,31.28186753528773
2017-01-04,Member,1135,200.93972222222223,10.622364170337738
2017-01-05,Casual,62,19.654166666666665,19.02016129032258
2017-01-05,Member,1349,246.12861111111113,10.94715838893007
2017-01-06,Casual,801,346.98305555555555,25.991240116521013
2017-01-06,Member,4300,826.0286111111111,11.525980620155037
2017-01-13,Casual,35,7.15,12.257142857142858
2017-01-13,Member,1712,290.95750000000004,10.197108644859814
2017-01-14,Casual,55,18.34388888888889,20.01151515151515
2017-01-14,Member,783,121.87666666666668,9.339208173690933
2017-01-15,Casual,62,27.357777777777777,26.475268817204302
2017-01-15,Member,679,112.97416666666666,9.982989690721649
2017-01-16,Casual,42,25.6725,36.675
2017-01-16,Member,1699,296.1825,10.45965273690406
2017-01-17,Casual,15,5.634722222222222,22.538888888888888
2017-01-17,Member,997,171.7711111111111,10.337278502173186
2017-01-18,Casual,19,13.971666666666666,44.12105263157894
2017-01-18,Member,1846,318.495,10.351950162513543
2017-01-19,Casual,51,12.9675,15.255882352941176
2017-01-19,Member,2059,360.09777777777776,10.493378662781286
2017-01-20,Casual,60,16.084166666666665,16.084166666666665
2017-01-20,Member,2009,345.53555555555556,10.319628339140534
2017-01-21,Casual,179,81.67333333333333,27.37653631284916
2017-01-21,Member,1240,218.03694444444446,10.550174731182796
2017-01-22,Casual,127,48.96666666666667,23.133858267716537
2017-01-22,Member,894,149.37666666666667,10.025279642058166
2017-01-23,Casual,28,9.449722222222222,20.249404761904763
2017-01-23,Member,1810,314.4125,10.422513812154696
2017-01-24,Casual,60,19.6175,19.6175
2017-01-24,Member,1890,328.97999999999996,10.443809523809524
2017-01-25,Casual,78,24.55611111111111,18.88931623931624
2017-01-25,Member,2089,369.3980555555556,10.60980532950375
2017-01-26,Casual,48,22.320555555555554,27.900694444444447
2017-01-26,Member,1507,263.365,10.485666887856668
2017-01-27,Casual,55,16.320833333333333,17.804545454545455
2017-01-27,Member,1871,317.53416666666664,10.18281667557456
2017-01-28,Casual,53,21.102222222222224,23.88930817610063
2017-01-28,Member,817,138.3736111111111,10.162076703386372
2017-01-29,Casual,44,17.07388888888889,23.28257575757576
2017-01-29,Member,722,120.52638888888889,10.016043397968607
2017-01-30,Casual,42,21.8675,31.239285714285714
2017-01-30,Member,1492,259.3047222222222,10.427803842716711
2017-01-31,Casual,21,6.53388888888889,18.668253968253968
2017-01-31,Member,1731,296.6905555555556,10.283901405738495
2017-02-01,Casual,90,57.04083333333333,38.02722222222222
2017-02-01,Member,685,119.45222222222222,10.462968369829685
2017-02-02,Casual,30,8.761388888888888,17.522777777777776
2017-02-02,Member,1769,296.8183333333333,10.067326172979083
2017-02-03,Casual,54,24.10972222222222,26.78858024691358
2017-02-03,Member,1790,307.1247222222222,10.294683426443203
2017-02-04,Casual,756,481.5452777777778,38.21787918871252
2017-02-04,Member,1501,301.7730555555556,12.062880302020876
2017-02-05,Casual,145,40.766666666666666,16.86896551724138
2017-02-05,Member,2461,444.17861111111114,10.829222538263577
2017-02-06,Casual,1013,454.46777777777777,26.91813096413294
2017-02-06,Member,4183,799.0769444444445,11.46177783090286
2017-02-13,Casual,4,1.038888888888889,15.583333333333334
2017-02-13,Member,831,159.17166666666665,11.49253910950662
2017-02-14,Casual,13,2.9161111111111113,13.45897435897436
2017-02-14,Member,1458,267.5108333333333,11.008676268861453
2017-02-15,Casual,10,1.7602777777777776,10.561666666666667
2017-02-15,Member,1649,289.7730555555556,10.54359207600566
2017-02-16,Casual,17,4.953333333333333,17.482352941176472
2017-02-16,Member,1544,263.6413888888889,10.245131692573402
2017-02-17,Casual,39,41.27333333333333,63.4974358974359
2017-02-17,Member,1572,266.86055555555555,10.185517387616624
2017-02-18,Casual,350,210.09194444444444,36.0157619047619
2017-02-18,Member,1052,213.16611111111112,12.15776299112801
2017-02-19,Casual,711,445.67722222222227,37.60989217065166
2017-02-19,Member,970,187.82083333333333,11.61778350515464
2017-02-20,Casual,326,165.7138888888889,30.49948875255624
2017-02-20,Member,783,140.06722222222223,10.733120476798637
2017-02-21,Casual,64,23.029722222222222,21.590364583333333
2017-02-21,Member,1615,278.8188888888889,10.35859649122807
2017-02-22,Casual,78,48.23416666666667,37.103205128205126
2017-02-22,Member,2138,383.6138888888889,10.765590894917368
2017-02-23,Casual,314,181.05666666666667,34.5968152866242
2017-02-23,Member,2468,467.6280555555556,11.368591301998919
2017-02-24,Casual,86,32.94916666666667,22.98779069767442
2017-02-24,Member,1653,286.47833333333335,10.39848759830611
2017-02-25,Casual,171,70.9075,24.87982456140351
2017-02-25,Member,1171,200.29,10.262510674637063
2017-02-26,Casual,80,31.342222222222222,23.506666666666668
2017-02-26,Member,899,149.62805555555553,9.986299592139414
2017-02-27,Casual,116,68.00666666666667,35.17586206896552
2017-02-27,Member,2013,358.7083333333333,10.691753601589665
2017-02-28,Casual,83,30.015555555555558,21.697991967871484
2017-02-28,Member,2426,429.10638888888894,10.612688925528992
2017-03-01,Casual,25,6.052777777777778,14.526666666666667
2017-03-01,Member,893,157.36222222222221,10.57304964539007
2017-03-02,Casual,30,8.452222222222222,16.904444444444444
2017-03-02,Member,1569,260.0805555555556,9.945719141703846
2017-03-03,Casual,44,11.934444444444445,16.274242424242424
2017-03-03,Member,1584,269.2786111111111,10.19994739057239
2017-03-04,Casual,170,72.21777777777778,25.488627450980392
2017-03-04,Member,2228,397.91749999999996,10.715911131059245
2017-03-05,Casual,522,302.86611111111114,34.81219667943806
2017-03-05,Member,3363,639.3491666666666,11.40676479333928
2017-03-06,Casual,2299,1383.191388888889,36.09894881832681
2017-03-06,Member,2741,602.75,13.194089748267055
2017-03-13,Casual,12,5.346111111111111,26.730555555555554
2017-03-13,Member,1039,172.89027777777775,9.98403914019891
2017-03-14,Casual,7,1.2433333333333332,10.657142857142857
2017-03-14,Member,554,101.51,10.993862815884476
2017-03-15,Casual,16,5.041666666666667,18.90625
2017-03-15,Member,851,146.92000000000002,10.358636897767331
2017-03-16,Casual,48,30.90888888888889,38.636111111111106
2017-03-16,Member,1515,259.8513888888889,10.291144114411441
2017-03-17,Casual,139,67.1225,28.973741007194246
2017-03-17,Member,1823,306.34694444444443,10.08272993234595
2017-03-18,Casual,60,26.934166666666666,26.934166666666666
2017-03-18,Member,769,134.25944444444445,10.475379280450802
2017-03-19,Casual,145,94.525,39.11379310344828
2017-03-19,Member,978,173.77166666666665,10.660838445807771
2017-03-20,Casual,77,35.02055555555555,27.28874458874459
2017-03-20,Member,2054,346.9913888888889,10.136067835118467
2017-03-21,Casual,180,79.46833333333333,26.48944444444444
2017-03-21,Member,2592,456.2808333333333,10.562056327160494
2017-03-22,Casual,39,21.290833333333335,32.75512820512821
2017-03-22,Member,1722,288.01222222222225,10.035269066976385
2017-03-23,Casual,97,49.301944444444445,30.496048109965635
2017-03-23,Member,1953,338.74583333333334,10.406938044034819
2017-03-24,Casual,112,42.99666666666667,23.03392857142857
2017-03-24,Member,1740,304.46500000000003,10.498793103448275
2017-03-25,Casual,104,50.16444444444445,28.941025641025643
2017-03-25,Member,832,141.4875,10.20342548076923
2017-03-26,Casual,83,30.814444444444444,22.275502008032127
2017-03-26,Member,802,131.5847222222222,9.844243557772236
2017-03-27,Casual,123,59.95944444444444,29.248509485094853
2017-03-27,Member,2048,367.3441666666667,10.7620361328125
2017-03-28,Casual,186,82.19555555555556,26.514695340501795
2017-03-28,Member,2565,451.5930555555555,10.56358024691358
2017-03-29,Casual,173,69.19805555555556,23.999325626204236
2017-03-29,Member,2592,461.06944444444446,10.672903806584364
2017-03-30,Casual,102,34.74861111111111,20.440359477124183
2017-03-30,Member,2008,351.5827777777778,10.505461487383798
2017-03-31,Casual,35,8.01388888888889,13.738095238095239
2017-03-31,Member,818,133.95583333333335,9.825611246943765
2017-04-01,Casual,37,16.214444444444446,26.293693693693694
2017-04-01,Member,1322,234.49944444444446,10.642939989914272
2017-04-02,Casual,50,23.178055555555556,27.813666666666666
2017-04-02,Member,792,136.34277777777777,10.328998316498316
2017-04-03,Casual,70,23.201944444444443,19.887380952380955
2017-04-03,Member,760,128.2697222222222,10.12655701754386
2017-04-04,Casual,39,12.564444444444444,19.32991452991453
2017-04-04,Member,1156,198.89972222222224,10.323514994232987
2017-04-05,Casual,220,109.42944444444444,29.844393939393942
2017-04-05,Member,2081,386.8761111111111,11.154525068076246
2017-04-06,Casual,1285,629.8461111111112,29.40915693904021
2017-04-06,Member,1956,370.8297222222222,11.3751448534424
2017-04-13,Casual,396,203.28472222222223,30.800715488215488
2017-04-13,Member,2938,532.9313888888889,10.883554572271386
2017-04-14,Casual,1387,1001.6941666666667,43.33211968276857
2017-04-14,Member,1751,368.0066666666667,12.610165619645917
2017-04-15,Casual,686,354.7702777777778,31.029470359572404
2017-04-15,Member,1135,203.79444444444442,10.773274596182086
2017-04-16,Casual,1195,680.8327777777778,34.184072524407256
2017-04-16,Member,1395,277.37361111111113,11.93004778972521
2017-04-17,Casual,600,308.1086111111111,30.810861111111112
2017-04-17,Member,2441,450.065,11.062638263006964
2017-04-18,Casual,259,149.82638888888889,34.70881595881596
2017-04-18,Member,2862,515.1869444444444,10.80056487304915
2017-04-19,Casual,193,94.83083333333335,29.481088082901557
2017-04-19,Member,2825,512.2394444444444,10.879421828908555
2017-04-20,Casual,137,42.07555555555555,18.427250608272505
2017-04-20,Member,1763,313.0375,10.653573454339194
2017-04-21,Casual,236,136.53,34.71101694915254
2017-04-21,Member,2605,505.0875,11.633493282149713
2017-04-22,Casual,847,555.1488888888889,39.32577725304998
2017-04-22,Member,1933,388.6536111111111,12.063743748922228
2017-04-23,Casual,1270,863.5583333333333,40.79803149606299
2017-04-23,Member,1921,407.3172222222222,12.722037133437446
2017-04-24,Casual,516,249.1236111111111,28.967861757105943
2017-04-24,Member,2875,541.3380555555556,11.297489855072463
2017-04-25,Casual,143,54.36222222222222,22.809324009324012
2017-04-25,Member,2020,356.7922222222222,10.597788778877888
2017-04-26,Casual,371,223.1338888888889,36.086343216531894
2017-04-26,Member,3019,565.3641666666666,11.236121232196092
2017-04-27,Casual,556,348.65333333333336,37.624460431654676
2017-04-27,Member,3350,629.2108333333333,11.269447761194028
2017-04-28,Casual,331,214.9452777777778,38.96289023162135
2017-04-28,Member,3102,597.9663888888888,11.566081022995917
2017-04-29,Casual,880,566.1733333333334,38.60272727272727
2017-04-29,Member,1954,389.1558333333333,11.94951381780962
2017-04-30,Casual,263,116.57972222222223,26.596134347275033
2017-04-30,Member,1144,197.06944444444443,10.335810023310023
2017-05-01,Casual,20,4.60361111111111,13.810833333333333
2017-05-01,Member,1182,199.4913888888889,10.12646644106035
2017-05-02,Casual,36,10.65861111111111,17.764351851851853
2017-05-02,Member,673,114.56111111111112,10.21347201584943
2017-05-03,Casual,28,14.207777777777778,30.445238095238096
2017-05-03,Member,697,113.36583333333333,9.758895265423241
2017-05-04,Casual,219,89.81694444444445,24.607382039573817
2017-05-04,Member,2633,477.45,10.87998480820357
2017-05-05,Casual,11,6.167222222222223,33.63939393939394
2017-05-05,Member,647,111.28416666666666,10.320015455950541
2017-05-06,Casual,573,262.46833333333336,27.483595113438046
2017-05-06,Member,3651,676.2813888888888,11.113909431206062
2017-05-13,Casual,928,553.6444444444444,35.79597701149426
2017-05-13,Member,2161,431.4888888888889,11.980256054295852
2017-05-14,Casual,756,447.8875,35.54662698412699
2017-05-14,Member,1653,334.14000000000004,12.128493647912885
2017-05-15,Casual,631,352.81944444444446,33.548600105652405
2017-05-15,Member,3508,672.1925,11.49702109464082
2017-05-16,Casual,369,212.59972222222223,34.569060523938575
2017-05-16,Member,3510,644.8013888888889,11.022245963912631
2017-05-17,Casual,756,460.4519444444444,36.543805114638445
2017-05-17,Member,3987,776.1569444444444,11.68031519103754
2017-05-18,Casual,750,357.7702777777778,28.621622222222225
2017-05-18,Member,3901,754.5086111111111,11.604849183969922
2017-05-19,Casual,689,328.9183333333333,28.643105950653123
2017-05-19,Member,3547,661.3402777777777,11.187035992857814
2017-05-20,Casual,1467,894.2975,36.57658486707567
2017-05-20,Member,1955,372.38972222222225,11.428840579710144
2017-05-21,Casual,416,173.01666666666668,24.954326923076923
2017-05-21,Member,971,171.25333333333336,10.582080329557158
2017-05-22,Casual,1281,852.6061111111111,39.93471246422066
2017-05-22,Member,1499,316.05722222222226,12.650722704024906
2017-05-23,Casual,627,319.54,30.577990430622012
2017-05-23,Member,3681,694.8336111111112,11.325731232454949
2017-05-24,Casual,634,319.84166666666664,30.26892744479495
2017-05-24,Member,4106,773.1763888888889,11.298242409482059
2017-05-25,Casual,127,39.88888888888889,18.84514435695538
2017-05-25,Member,1304,227.36027777777778,10.461362474437628
2017-05-26,Casual,485,226.70583333333335,28.046082474226804
2017-05-26,Member,3470,653.0561111111111,11.292036503362151
2017-05-27,Casual,1646,882.8591666666667,32.18198663426488
2017-05-27,Member,2435,513.8938888888889,12.66268309377139
2017-05-28,Casual,2279,1234.2422222222224,32.49431037004534
2017-05-28,Member,2547,543.51,12.803533568904593
2017-05-29,Casual,1168,590.2894444444445,30.32308789954338
2017-05-29,Member,3630,699.9294444444445,11.569081726354455
2017-05-30,Casual,676,262.84805555555556,23.329709072978304
2017-05-30,Member,3454,650.8919444444444,11.306750627292027
2017-05-31,Casual,895,408.8488888888889,27.408864059590318
2017-05-31,Member,4074,786.3938888888889,11.581647848142694
2017-06-01,Casual,34,9.704444444444444,17.12549019607843
2017-06-01,Member,1155,191.44055555555553,9.944963924963925
2017-06-02,Casual,50,23.57027777777778,28.284333333333333
2017-06-02,Member,1664,289.9263888888889,10.454076522435896
2017-06-03,Casual,54,17.264444444444443,19.182716049382716
2017-06-03,Member,2001,350.6975,10.515667166416792
2017-06-04,Casual,32,7.701666666666667,14.440625
2017-06-04,Member,1103,189.9125,10.330689029918405
2017-06-05,Casual,208,90.36722222222222,26.067467948717947
2017-06-05,Member,1350,245.90805555555556,10.929246913580247
2017-06-06,Casual,268,109.71027777777778,24.56200248756219
2017-06-06,Member,2784,493.8205555555556,10.64268438697318
2017-06-13,Casual,816,400.77777777777777,29.468954248366014
2017-06-13,Member,4460,864.0788888888889,11.62437967115097
2017-06-14,Casual,1071,562.3444444444444,31.503890445066915
2017-06-14,Member,5023,984.213888888889,11.756486827261265
2017-06-15,Casual,781,323.92249999999996,24.885211267605634
2017-06-15,Member,4432,815.9211111111111,11.045863417569194
2017-06-16,Casual,1159,599.0405555555556,31.01159045153868
2017-06-16,Member,4447,849.8683333333333,11.466629188216777
2017-06-17,Casual,1811,939.9783333333332,31.142297073440087
2017-06-17,Member,2700,550.9833333333333,12.244074074074073
2017-06-18,Casual,1725,861.0111111111111,29.948212560386473
2017-06-18,Member,2134,421.6502777777778,11.855209309590753
2017-06-19,Casual,1114,509.75888888888886,27.455595451825257
2017-06-19,Member,4397,852.063888888889,11.62698051701918
2017-06-20,Casual,953,428.45222222222225,26.97495627841903
2017-06-20,Member,4509,867.0366666666666,11.537414060767354
2017-06-21,Casual,1181,635.0591666666667,32.26380186282811
2017-06-21,Member,4504,861.1327777777777,11.471573416222617
2017-06-22,Casual,1004,419.96083333333337,25.0972609561753
2017-06-22,Member,4552,872.0769444444445,11.494863063854716
2017-06-23,Casual,807,307.3575,22.851858736059476
2017-06-23,Member,3074,575.0169444444444,11.223492734764694
2017-06-24,Casual,3012,1808.6052777777777,36.02799358123063
2017-06-24,Member,3000,628.9222222222222,12.578444444444445
2017-06-25,Casual,1860,858.3738888888889,27.68948028673835
2017-06-25,Member,2396,500.05361111111114,12.522210628825821
2017-06-26,Casual,889,416.3780555555556,28.102005999250093
2017-06-26,Member,3773,700.6800000000001,11.1425390935595
2017-06-27,Casual,726,324.99666666666667,26.85922865013774
2017-06-27,Member,4107,766.6136111111111,11.19961447934421
2017-06-28,Casual,1097,568.9208333333333,31.116909753874204
2017-06-28,Member,4932,951.936111111111,11.58073127872398
2017-06-29,Casual,662,349.7019444444444,31.695040281973817
2017-06-29,Member,4073,740.6361111111111,10.9104263851379
2017-06-30,Casual,1091,546.5655555555555,30.05860067216621
2017-06-30,Member,3887,729.0702777777777,11.253979075550982
2017-07-01,Casual,3028,2053.666111111111,40.693516072214884
2017-07-01,Member,2785,587.1091666666667,12.64867145421903
2017-07-02,Casual,3523,2319.414166666667,39.50180244110133
2017-07-02,Member,3495,715.7358333333334,12.2873104434907
2017-07-03,Casual,3865,2805.5069444444443,43.55250107805089
2017-07-03,Member,4096,843.9138888888889,12.362019856770834
2017-07-04,Casual,1858,1267.5866666666666,40.933907427341225
2017-07-04,Member,6521,1222.6611111111113,11.249757194704289
2017-07-05,Casual,4734,2245.3488888888887,28.458160822419377
2017-07-05,Member,6899,1338.7255555555557,11.642779146736242
2017-07-06,Casual,2525,1402.495,33.32661386138614
2017-07-06,Member,9878,2565.034722222222,15.580287845042855
2017-07-07,Casual,1463,826.9394444444445,33.91412622465254
2017-07-07,Member,4658,890.8125,11.47461356805496
2017-07-08,Casual,3238,2693.3525,49.90770537368746
2017-07-08,Member,3207,693.6775,12.978063610851262
2017-07-09,Casual,2411,1500.6927777777778,37.3461495921471
2017-07-09,Member,2664,531.5691666666667,11.972278528528529
2017-07-10,Casual,1468,809.7336111111111,33.09537920072661
2017-07-10,Member,4848,1399.6399999999999,17.322277227722772
2017-07-11,Casual,1607,998.3791666666667,37.2761356565028
2017-07-11,Member,5545,1097.7811111111112,11.878605350165314
2017-07-12,Casual,4121,1533.1625,22.322191215724338
2017-07-12,Member,4937,927.8238888888889,11.275963810681251
2017-07-13,Casual,982,412.88027777777774,25.226900882552613
2017-07-13,Member,4350,802.5322222222222,11.069409961685825
2017-07-14,Casual,1641,982.5313888888888,35.924365224456636
2017-07-14,Member,5050,961.3713888888889,11.422234323432344
2017-07-15,Casual,4038,2715.044722222222,40.34241786362886
2017-07-15,Member,3386,760.7072222222222,13.479749950777713
2017-07-16,Casual,2713,1692.3602777777778,37.427798255313924
2017-07-16,Member,2760,570.5305555555556,12.402838164251209
2017-07-17,Casual,1434,796.9472222222223,33.3450720595072
2017-07-17,Member,5017,943.0963888888889,11.278808717028769
2017-07-18,Casual,1751,1128.1883333333333,38.658652198743575
2017-07-18,Member,5536,1110.7822222222223,12.038824662813102
2017-07-19,Casual,5363,2320.331111111111,25.959326247746908
2017-07-19,Member,5600,1080.5697222222223,11.577532738095238
2017-07-20,Casual,1322,664.3072222222222,30.150100857286937
2017-07-20,Member,5189,988.6752777777779,11.431974690049463
