,lat,lng,trips
0,43.6279083,-79.4756618,31140
1,43.6303922,-79.4198324,25804
2,43.6312186,-79.4103392,118068
3,43.631462,-79.4316385,13472
4,43.634399,-79.425873,1860
5,43.634877,-79.4091215,43124
6,43.6352044,-79.46817970000001,10800
7,43.635650899999995,-79.4440176,16968
8,43.6357028,-79.398422,67612
9,43.63587929999999,-79.4187734,28504
10,43.6361237,-79.4651582,14716
11,43.6366169,-79.39667659999999,82408
12,43.6375849,-79.3884382,97256
13,43.637654299999994,-79.454552,15768
14,43.637921999999996,-79.43173399999999,6412
15,43.6385083,-79.4195451,34708
16,43.638521999999995,-79.40098540000001,40576
17,43.6385386,-79.39212020000001,20292
18,43.6386723,-79.4139607,79968
19,43.6388818,-79.4006555,82224
20,43.6394623,-79.4248104,11364
21,43.6395925,-79.3827816,112412
22,43.6397139,-79.4235468,28216
23,43.639874600000006,-79.3956134,98216
24,43.640073,-79.3801292,159644
25,43.6401129,-79.4391036,4960
26,43.6404124,-79.37572409999999,124764
27,43.6405619,-79.392866,76188
28,43.640731200000005,-79.43594759999999,31512
29,43.6407935,-79.3915459,56284
30,43.64089310000001,-79.38774240000001,88320
31,43.641006299999994,-79.4102226,20656
32,43.641106,-79.4166062,28104
33,43.6413253,-79.4331243,22640
34,43.641387,-79.4044383,15112
35,43.641697799999996,-79.4236547,26140
36,43.6419596,-79.3746697,81084
37,43.6422906,-79.4107175,51864
38,43.6425333,-79.4271162,47072
39,43.64261079999999,-79.5321603,18056
40,43.643018100000006,-79.39948009999999,90064
41,43.6431914,-79.402383,19852
42,43.6432796,-79.3754993,58008
43,43.6433939,-79.4052578,69536
44,43.6434252,-79.3912575,128992
45,43.6434445,-79.3809378,62396
46,43.6434786,-79.4223717,43684
47,43.643804100000004,-79.44748940000001,9016
48,43.6438342,-79.3966495,49792
49,43.644171,-79.41885079999999,51008
50,43.6443346,-79.36781020000001,98768
51,43.644701899999994,-79.4162787,45836
52,43.6450333,-79.4094564,91356
53,43.645195,-79.3806,16
54,43.645220200000004,-79.38059809999999,205484
55,43.6453349,-79.4131843,8164
56,43.6454878,-79.39489520000001,150240
57,43.6459532,-79.3894662,32908
58,43.6460349,-79.3889609,73568
59,43.646070200000004,-79.38552259999999,176696
60,43.64613,-79.379295,89876
61,43.646311499999996,-79.3752547,82532
62,43.646761,-79.3954343,44488
63,43.6472722,-79.3776902,81696
64,43.6473313,-79.3797062,85380
65,43.64743729999999,-79.4328546,14440
66,43.6475685,-79.3915765,140976
67,43.6476597,-79.3848122,99088
68,43.647714,-79.40141949999999,140668
69,43.648,-79.3834,19904
70,43.6482109,-79.3709183,70336
71,43.648621500000004,-79.44333490000001,7128
72,43.648724,-79.379623,160208
73,43.648767,-79.3962577,88084
74,43.6488016,-79.38892299999999,109492
75,43.6490352,-79.3672694,65692
76,43.6498929,-79.380774,26720
77,43.650064799999996,-79.4170615,52620
78,43.6500757,-79.396782,123480
79,43.650228799999994,-79.42505059999999,7880
80,43.650367700000004,-79.3569845,34844
81,43.6504548,-79.3718947,95260
82,43.650459399999995,-79.4506543,5696
83,43.650507700000006,-79.3878689,32592
84,43.6506493,-79.38743509999999,121484
85,43.6506776,-79.44305820000001,17972
86,43.650949,-79.4213583,17084
87,43.651052899999996,-79.3786883,49472
88,43.6511693,-79.41158440000001,26748
89,43.6513499,-79.3573594,45108
90,43.651565999999995,-79.437566,13560
91,43.651702,-79.36255030000001,42528
92,43.652086700000005,-79.36033540000001,58088
93,43.652101,-79.3807098,24544
94,43.6521354,-79.389317,95708
95,43.652153999999996,-79.3543446,23316
96,43.652162,-79.4481727,2836
97,43.6522676,-79.40110440000001,69580
98,43.6522958,-79.4060126,75936
99,43.652398100000006,-79.3673842,144288
100,43.652632399999995,-79.3580917,35848
101,43.6529167,-79.3769128,77504
102,43.6529203,-79.4296335,24008
103,43.652962,-79.382633,122768
104,43.6530279,-79.3969684,1292
105,43.6531574,-79.3686431,59232
106,43.653226000000004,-79.3831843,0
107,43.65323720000001,-79.4182957,12900
108,43.653439899999995,-79.3840901,69684
109,43.6535605,-79.46526440000001,12132
110,43.653814000000004,-79.3938243,112200
111,43.6538351,-79.4411144,4892
112,43.6538467,-79.4668176,6256
113,43.6538727,-79.4017521,67628
114,43.65395770000001,-79.372065,38828
115,43.6543876,-79.4226798,27252
116,43.6544382,-79.38069940000001,30240
117,43.6544805,-79.3903151,27836
118,43.6546432,-79.4214687,20332
119,43.654676200000004,-79.3892019,79620
120,43.6547002,-79.46015240000001,3916
121,43.654905,-79.398448,29336
122,43.6551585,-79.4190145,30632
123,43.65521939999999,-79.4138604,49400
124,43.655317,-79.36575079999999,21576
125,43.655994899999996,-79.37839699999999,6728
126,43.6560524,-79.3846762,82940
127,43.6561625,-79.4146192,26756
128,43.6562169,-79.40893270000001,38268
129,43.65626470000001,-79.361453,21720
130,43.656325,-79.380903,163152
131,43.656355,-79.388809,57812
132,43.656406,-79.37746340000001,12064
133,43.656555299999994,-79.4327637,19492
134,43.656867999999996,-79.3561681,62280
135,43.656965,-79.4051588,27284
136,43.6570179,-79.3811971,73536
137,43.6570799,-79.37455759999999,35132
138,43.657274,-79.4526928,10308
139,43.65743320000001,-79.402765,61684
140,43.65753,-79.389626,67104
141,43.657658500000004,-79.3788017,84876
142,43.6577699,-79.3861666,18692
143,43.6580286,-79.45089449999999,17280
144,43.6581282,-79.3502186,644
145,43.6581648,-79.37240190000001,13660
146,43.6582708,-79.3981902,60672
147,43.658524,-79.3763397,99688
148,43.658645799999995,-79.3694957,33418
149,43.658713399999996,-79.3958657,81324
150,43.6587949,-79.4230682,15948
151,43.658871000000005,-79.4100062,18560
152,43.6590542,-79.38596629999999,59224
153,43.6594276,-79.36599559999999,60484
154,43.659567100000004,-79.3848314,118040
155,43.6595704,-79.35012569999999,12256
156,43.659810799999995,-79.409058,21488
157,43.6598576,-79.4353285,16052
158,43.659884000000005,-79.390349,76472
159,43.660267299999994,-79.4158311,24292
160,43.660355700000004,-79.36180379999999,80132
161,43.6604579,-79.3969562,30496
162,43.6606625,-79.4316443,25380
163,43.660678000000004,-79.3788522,54764
164,43.6608355,-79.3858556,26776
165,43.6609626,-79.38557940000001,137924
166,43.661063299999995,-79.43213670000002,20584
167,43.6612075,-79.3447934,33124
168,43.6613194,-79.4012928,35680
169,43.6613414,-79.33879859999999,40040
170,43.6614399,-79.4492708,2872
171,43.6617429,-79.3747382,68000
172,43.6617465,-79.3898756,11692
173,43.66194779999999,-79.36702509999999,43604
174,43.6619827,-79.42562420000002,45600
175,43.6620286,-79.383353,57200
176,43.6620325,-79.4458421,6840
177,43.662079999999996,-79.39760600000001,78164
178,43.6620868,-79.4046407,30656
179,43.6623377,-79.33430849999999,17748
180,43.662420000000004,-79.3767079,47440
181,43.6624391,-79.35134559999999,31936
182,43.662502,-79.4232428,10736
183,43.6628044,-79.37973120000001,45096
184,43.66289570000001,-79.3837219,13040
185,43.6630951,-79.4020073,15636
186,43.663118100000005,-79.40893259999999,27988
187,43.663502,-79.40004990000001,57188
188,43.6635591,-79.4184063,46060
189,43.663608200000006,-79.3906297,56020
190,43.6636798,-79.3800945,55756
191,43.6636944,-79.35923129999999,21288
192,43.6638315,-79.41068349999999,29264
193,43.6640657,-79.4160863,11244
194,43.66408,-79.398439,65416
195,43.664332,-79.4148618,46052
196,43.664355,-79.3871427,119496
197,43.664466100000006,-79.3680473,40832
198,43.6646188,-79.4028207,45132
199,43.6650445,-79.3682814,40340
200,43.6654635,-79.351462,7328
201,43.6656458,-79.38767709999999,93524
202,43.6656652,-79.4086442,10868
203,43.66583320000001,-79.3849316,11940
204,43.665915600000005,-79.40745390000001,68112
205,43.6660011,-79.4112152,28668
206,43.66636210000001,-79.40533559999999,20260
207,43.6665315,-79.3809699,15120
208,43.666595,-79.373235,23856
209,43.6666942,-79.4583445,16536
210,43.666700299999995,-79.3813459,38216
211,43.6669032,-79.4026884,62104
212,43.667072600000004,-79.3746546,105532
213,43.6671213,-79.3611251,22988
214,43.667517700000005,-79.3998186,85644
215,43.6677097,-79.3947771,26408
216,43.6682107,-79.38884709999999,19472
217,43.668355299999995,-79.4202547,15868
218,43.668477,-79.3873854,28884
219,43.6687003,-79.3941264,69736
220,43.668869,-79.37941579999999,62896
221,43.668977500000004,-79.38533829999999,70760
222,43.6697157,-79.3894773,94784
223,43.6699532,-79.3798863,12472
224,43.66999570000001,-79.38800359999999,23684
225,43.67002,-79.42092679999999,22152
226,43.6703049,-79.4052872,23960
227,43.670749799999996,-79.2976896,4792
228,43.6707898,-79.35612540000001,42680
229,43.6710294,-79.3831411,64832
230,43.6712495,-79.37642120000001,48188
231,43.671535,-79.379173,10056
232,43.67159960000001,-79.4163406,14924
233,43.6716033,-79.3805398,56672
234,43.6719226,-79.3874532,47208
235,43.671929399999996,-79.40843220000001,26516
236,43.671998200000004,-79.3988344,20048
237,43.672033299999995,-79.370728,12044
238,43.6730853,-79.3906658,19700
239,43.6736049,-79.3688194,11028
240,43.674330700000006,-79.4148223,11384
241,43.674364399999995,-79.3998092,9412
242,43.6746978,-79.3965732,14948
243,43.6754816,-79.40982120000001,11152
244,43.6755784,-79.4230446,13804
245,43.67558820000001,-79.3889658,14388
246,43.6758521,-79.4074745,29696
247,43.676679,-79.356409,28252
248,43.676696500000006,-79.4157557,8852
249,43.677778,-79.405556,21140
250,43.6782356,-79.35245450000001,16980
251,43.6786924,-79.3461056,20032
252,43.6795523,-79.3453774,7088
253,43.679879,-79.3907295,12424
254,43.67998239999999,-79.4240684,20376
255,43.6805156,-79.4228273,3648
256,43.6809818,-79.3378352,10864
257,43.6821189,-79.32934809999999,8492
258,43.6822899,-79.39077440000001,22020
259,43.6833563,-79.3235888,9352
260,43.6847323,-79.3171844,6988
261,43.6855976,-79.3780841,1488
262,43.686049700000005,-79.3692834,2604
263,43.686833,-79.31104909999999,3576
264,43.687323,-79.3883309,5892
265,43.6874331,-79.3052146,3492
266,43.6877284,-79.301609,3620
267,43.6884404,-79.30056490000001,5852
268,43.6905839,-79.326557,4364
269,43.693992,-79.28877740000001,1424
